1563;R ISMAEL CHAVES BARCELOS S/N;3224-9803;-51.22881767539000000;-30.04418590572600000
1564;R MARCILIO DIAS 200;3231-5195;-51.22767667539000000;-30.04915190572600000
1565;AV BORGES DE MEDEIROS 1501;3288-1200;-51.22985667539000000;-30.04106590572600000
1566;AV AUGUSTO CARVALHO 10;;-51.23264067539000000;-30.03689090572600000
1567;R CEL FERNANDO MACHADO 860;;-51.22847767539000000;-30.03502790572600000
1568;PCA MARECHAL DEODORO 101;;-51.23061667539000000;-30.03294390572600000
1569;AV BORGES DE MEDEIROS 1080;3224-3223;-51.22802167539000000;-30.03637390572600000
1570;R DA REPUBLICA 677;3211-2260;-51.22586067539000000;-30.04029390572600000
1571;AV BORGES DE MEDEIROS 1043;;-51.22814667539000000;-30.03605290572600000
1572;AV BORGES DE MEDEIROS 929;;-51.22809067539000000;-30.03493790572600000
1573;R DUQUE DE CAXIAS 1319;3225-6269;-51.22780067539000000;-30.03370090572600000
1574;R DEZESSETE DE JUNHO 755;3227-9786;-51.22161267539000000;-30.04762890572600000
1575;R CEL ANDRE BELO 705;;-51.22151167539000000;-30.04669190572600000
1576;R MUCIO TEIXEIRA 10;3226-5109;-51.22331467539000000;-30.04377390572600000
1577;R JOAQUIM NABUCO 332;;-51.22106967539000000;-30.04228290572600000
1578;R LUZITANA 22;;-51.18418867539000000;-30.00845090572600000
1579;R ZERO HORA 5;;-51.21717867539000000;-30.04854890572600000
1580;R DR SEBASTIAO LEAO 99;3221-5595;-51.21708367539000000;-30.04506790572600000
1581;AV JOAO PESSOA 1105;3212-4398;-51.21650967539000000;-30.04120290572600000
1582;R JOSE DO PATROCINIO 413;3224-8972;-51.22438767539000000;-30.03889390572600000
1583;R LUIZ AFONSO 395;;-51.22277267539000000;-30.04003990572600000
1584;R LUIZ AFONSO 143;3221-8870;-51.22076667539000000;-30.03881990572600000
1585;R SARMENTO LEITE 880;3221-8393;-51.22345267539000000;-30.03672490572600000
1586;AV JOAO PESSOA 85;;-51.22275867539000000;-30.03332690572600000
1587;R SARMENTO LEITE 740;;-51.22256167539000000;-30.03558090572600000
1588;R GEN LIMA E SILVA 776;;-51.22001267539000000;-30.03941490572600000
1589;R REPUBLICA 24;3227-4355;-51.22020567539000000;-30.03638290572600000
1590;AV JOAO PESSOA 599;;-51.21988767539000000;-30.03692690572600000
1591;R CALDAS JUNIOR 261;;-51.23174067539000000;-30.03083390572600000
1592;R CALDAS JUNIOR 180;;-51.23225667539000000;-30.02975290572600000
1593;R GEN CAMARA 521;;-51.23016267539000000;-30.03230590572600000
1594;R GEN CAMARA 352;;-51.22989467539000000;-30.03075690572600000
1595;R GEN CAMARA 156;;-51.23010967539000000;-30.02914390572600000
1596;R CAPITAO MONTANHA 37;;-51.23230367539000000;-30.02891490572600000
1597;R URUGUAI 155;;-51.22909167539000000;-30.02814290572600000
1598;AV BORGES DE MEDEIROS 668;3212-9339;-51.22797067539000000;-30.03247290572600000
1599;AV GAL ANDRADE NEVES 159;3212-7267;-51.22817867539000000;-30.03087890572600000
1600;R VIGARIO JOSE INACIO 6180;3225-2020;-51.22595067539000000;-30.03115490572600000
1601;AV BORGES DE MEDEIROS 262;;-51.22802967539000000;-30.02861390572600000
1602;R MARECHAL FLORIANO PEIXOTO 91;;-51.22690367539000000;-30.02980790572600000
1603;R JERONIMO COELHO 325;3280-1213;-51.22586267539000000;-30.03261690572600000
1604;R DR FLORES 263;;-51.22479967539000000;-30.02965690572600000
1605;AV IPIRANGA 6690;;-51.17327467539000000;-30.05603190572600000
1606;R RAMIRO BARCELOS 1859;3328-5535;-51.20827967539000000;-30.03554390572600000
1607;R VIGARIO JOSE INACIO 114;;-51.22572767539000000;-30.02658690572600000
